Year,State,Population,Total Religous,Christianity,Islam,Hinduism,Buddhism,Noreligion,Syncretism,Judaism,Sikhism,Code,Continent,GDP per Capita
1965,Dominican Republic,3350000,3239450,3239450,0,0,0,0,0,0,0,DOM,North America,229.023500116562
1965,Ecuador,5144000,4854560,4854560,0,0,0,0,0,0,0,ECU,South America,455.19781834632
1965,El Salvador,2820000,2730140,2730140,0,0,0,0,0,0,0,SLV,North America,274.175259503141
1965,Finland,4564000,4554106,4308416,851,0,0,241892,0,1471,0,FIN,Europe,1882.08685764849
1965,France,48758000,48123539,42091117,814753,16254,21005,4602120,24746,510970,0,FRA,Europe,2038.16310215841
1965,Gabon,462000,436643,311640,3000,0,0,0,0,0,0,GAB,Africa,424.620442943686
1965,Ghana,7831000,7826518,3668638,939720,706,298,5676,0,0,0,GHA,Africa,265.323688785998
1965,Greece,8550000,8549989,8416821,119068,0,0,9301,0,4799,0,GRC,Europe,899.281238912995
1965,Guatemala,4568000,4306560,4306560,0,0,0,0,0,0,0,GTM,North America,278.828138481721
1965,Haiti,4143000,5814381,3742881,0,0,0,0,2071500,0,0,HTI,North America,82.9476083737561
1965,Honduras,2029955,1994293,1994293,0,0,0,0,0,0,0,HND,North America,216.815394681597
1965,Iceland,192000,190323,188324,0,0,0,1999,0,0,0,ISL,Europe,2723.52094989073
1965,India,482529984,480458997,13415462,53966860,378198687,3495246,2235519,53376,14920,8583172,IND,Asia,119.318916255491
1965,Ireland,2876000,2863577,2854407,0,0,0,6225,0,2945,0,IRL,Europe,1023.77372640936
1965,Israel,2563000,2549997,72898,207300,0,0,0,0,2269799,0,ISR,Asia,1429.31460528027
1965,Italy,52112000,52111891,47010307,33808,0,1793,5023736,0,38177,0,ITA,Europe,1304.45381661965
1965,Jamaica,1718031,1517685,1332121,0,1181,0,183783,0,600,0,JAM,North America,553.450685786148
1965,Japan,97952000,155161247,2938560,0,4863,68566400,8629049,29957,748,0,JPN,Asia,928.518848597045
1965,Jordan,1909000,1907970,89980,1795000,0,0,22990,0,0,0,JOR,Asia,511.102970798115
1965,Kenya,9749000,9659203,5667984,389960,55487,0,1335,0,583,11330,KEN,Africa,104.711673869592
1965,Kuwait,475000,461640,24640,437000,0,0,0,0,0,0,KWT,Asia,4443.45233840779
1965,Luxembourg,332000,331006,322192,399,0,0,7232,0,670,0,LUX,Europe,2780.09271886584
1965,Madagascar,6080000,6063997,2965092,99604,950,1834,3447,3740,90,0,MDG,Africa,144.484730099737
1965,Malawi,3908000,3904448,2199998,750000,4517,0,425,0,67,168,MWI,Africa,55.4982244111406
1965,Malaysia,9210000,9207462,447780,3952400,665871,578324,19811,3000300,0,29380,MYS,Asia,310.327925803759
1965,Mauritania,1096000,1091391,6257,1085040,0,0,0,0,0,0,MRT,Africa,258.990479573938
1965,Mexico,38500000,36878500,36828500,0,0,0,0,0,50000,0,MEX,North America,494.97026133002
1965,Morocco,13194000,13110937,396637,12534300,0,0,0,0,180000,0,MAR,Africa,206.44901799101
1965,Myanmar,24218000,24206336,1336791,901350,607493,18305680,64074,75016,208,5562,MMR,Asia,62.3135431328062
1965,Nepal,10211000,10210714,5279,296945,7572905,1123210,29012,0,0,0,NPL,Asia,67.0074709698086
1965,Netherlands,12292000,12120903,10936461,47775,0,3147,1096408,12599,22303,0,NLD,Europe,1708.09635648862
1965,New Zealand,2628000,2615193,2507639,824,3096,1266,81379,6478,3619,299,NZL,Oceania,2151.29492695315
1965,Nicaragua,1541000,1504181,1504181,0,0,0,0,0,0,0,NIC,North America,273.906702957796
1965,Niger,3513000,3510868,12780,2770270,0,0,2228,0,0,0,NER,Africa,172.039678987395
1965,Nigeria,48676000,47907604,18470398,18983640,0,404,89712,0,0,0,NGA,Africa,117.188634827652
1965,Norway,3723000,3672975,3519138,3095,0,0,148920,0,870,0,NOR,Europe,2164.46882336736
1965,Pakistan,113061000,112852866,1711482,105146730,5653050,161669,20419,1921,456,28065,PAK,Asia,116.44672466593
1965,Panama,1303000,1301880,1256930,30000,2000,750,0,1500,1000,0,PAN,North America,648.436082115863
1965,Paraguay,2081000,1939520,1939520,0,0,0,0,0,0,0,PRY,South America,204.200830354844
1965,Peru,11467000,11021650,11021650,0,0,0,0,0,0,0,PER,South America,441.18211196419
1965,Philippines,31881000,31754415,29701787,1350642,776,44318,82671,65200,470,4705,PHL,Asia,210.8477965235
1965,Portugal,9129000,8965073,8730983,0,0,0,232822,0,1268,0,PRT,Europe,520.910659367884
1965,Rwanda,3130000,3124283,1826997,280985,849,0,0,0,0,0,RWA,Africa,45.9892827648958
1965,Senegal,3919000,3901815,184398,2939249,0,303,70367,5,0,0,SEN,Africa,328.563169210907
1965,Sierra Leone,2429000,2426345,159997,904222,1271,0,0,0,0,0,SLE,Africa,143.280492367138
1965,Singapore,1887000,1802334,141305,349389,111443,195356,50762,934563,367,18395,SGP,Asia,516.53530333901
1965,Somalia,4239000,4225439,9343,4209000,674,0,5528,0,0,0,SOM,Africa,79.4288131599353
1965,South Africa,19607000,19593526,14669841,237748,395597,1733,121065,1471,117738,3484,ZAF,Africa,584.704162655487
1965,Spain,32056000,32055928,31510692,12080,0,0,519341,823,10000,0,ESP,Europe,774.761609330096
1965,Sri Lanka,11164000,11163991,1004760,818834,1786240,7479780,44305,374,0,21944,LKA,Asia,152.852675452191
1965,Sudan,12359000,12226576,546270,8685300,0,0,0,0,0,0,SDN,Africa,141.081929255897
1965,Sweden,7734000,7730814,7406710,0,0,0,309360,0,14744,0,SWE,Europe,3206.09917020339
1965,Switzerland,5856000,5808522,5729956,9686,0,0,48360,0,20520,0,CHE,Europe,2620.475547353
1965,Thailand,31025000,30964338,340780,1198074,39761,28102750,82800,594200,52,8821,THA,Asia,137.91864667231
1965,Togo,1627000,1626801,469999,130000,0,0,176,0,0,0,TGO,Africa,109.620120649437
1965,Trinidad and Tobago,996844,888127,607342,54968,210306,1000,12061,0,150,0,TTO,North America,807.869838096908
1965,Tunisia,4630000,4604937,41153,4500000,0,0,0,0,63784,0,TUN,Africa,217.911274365173
1965,Turkey,31149000,31033004,214806,30800000,0,0,0,0,18198,0,TUR,Asia,386.358060636648
1965,Uganda,8047000,8046637,5232118,383786,54444,0,428,0,441,7384,UGA,Africa,110.802288985464
1965,United Kingdom,54350000,54319484,48806121,525637,174806,22740,4175424,11391,437514,152295,GBR,Europe,1873.56777435421
1965,United States of America,194631000,194049012,167515758,0,0,1080892,19852362,0,5600000,0,USA,North America,3827.52710972039
1965,Uruguay,2693000,1986810,1986810,0,0,0,0,0,0,0,URY,South America,701.704718154626
1965,Zambia,3695000,3694993,2358273,11685,6949,0,7812,1059,827,0,ZMB,Africa,303.281740494698
1965,Zimbabwe,4475000,4432187,2159999,42959,3140,0,7621,0,4465,0,ZWE,Africa,293.308787974892
1970,Afghanistan,13623000,13621930,8020,13477012,113888,3419,1825,0,228,2275,AFG,Asia,156.518771348706
1970,Algeria,13746000,13721300,108745,13611705,0,0,0,0,500,0,DZA,Africa,336.224692876265
1970,Argentina,23963000,23849053,23217353,5000,0,10000,110000,0,475000,0,ARG,South America,1322.59063753874
1970,Australia,12507000,12496918,11624696,24514,4915,11794,747865,4915,61409,2952,AUS,Oceania,3305.12639431046
1970,Austria,7467000,7464786,7128757,17995,0,1001,305031,0,10001,0,AUT,Europe,2058.76905087549
1970,Belgium,9656000,9653406,8943266,90284,0,4017,578394,1004,33120,0,BEL,Europe,2765.89099664794
1970,Benin,2718000,2716898,491007,380520,0,0,573,0,0,0,BEN,Africa,114.556675136837
1970,Bolivia,4212000,4114102,4001400,250,0,1998,27483,50,998,0,BOL,South America,226.806971403988
1970,Botswana,597000,596930,219000,173,0,0,0,0,86,0,BWA,Africa,153.32637867117
1970,Brazil,95847000,95270013,94526013,45000,2500,156500,390000,15000,77500,0,BRA,South America,445.02378079118
1970,Burkina Faso,5056000,5055959,455200,1636866,0,0,435,0,0,0,BFA,Africa,81.5000146010762
1970,Burundi,3544000,3543885,2601642,30266,303,0,101,0,0,0,BDI,Africa,69.7693841827188
1970,Cambodia,6938000,6933840,69380,169981,999,6100420,179833,140841,0,0,KHM,Asia,102.678961498333
1970,Cameroon,6612000,6501292,2545924,1280652,0,0,5799,0,0,0,CMR,Africa,176.573709220576
1970,Canada,21297000,19459798,17889480,41103,19615,15696,713821,29390,287509,19615,CAN,North America,4121.93281373693
1970,Central African Republic,1870000,1691000,909406,87890,0,0,2242,0,0,0,CAF,Africa,104.412016474153
1970,Chad,3640000,3619908,830160,1808053,0,0,997,0,0,0,TCD,Africa,128.791773595068
1970,Chile,9504000,9375831,8929331,2000,0,500,321200,0,15000,0,CHL,South America,932.861569157008
1970,China,830675008,820592482,868689,12236458,12709,55073752,355264128,356136624,914,8157,CHN,Asia,113.162991554686
1970,Colombia,20527000,20460679,20203471,24016,0,481,68765,481,17313,0,COL,South America,335.118203567684
1970,Costa Rica,1727000,1675466,1651066,0,0,2000,9300,0,1500,0,CRI,North America,533.091564923652
1970,Cuba,8546000,14474800,6382300,0,3000,5000,2100000,5982200,1800,0,CUB,North America,653.426953234621
1970,Denmark,4929000,4928699,4824090,9977,0,1001,85631,0,6999,0,DNK,Europe,3464.45515573196
1970,Dominican Republic,4062000,4050389,3598539,0,0,1500,450000,0,350,0,DOM,North America,330.13150590192
1970,Ecuador,5970000,5917727,5871027,0,0,1000,9500,2000,1000,0,ECU,South America,471.630797240067
1970,El Salvador,3534000,3480338,3462438,0,0,300,2400,0,300,0,SLV,North America,308.439870124849
1970,Equatorial Guinea,291000,290973,256908,1301,0,0,12810,0,0,0,GNQ,Africa,218.205537661039
1970,Fiji,520000,519766,262522,40404,208798,0,2553,200,0,3193,FJI,Oceania,422.387543772131
1970,Finland,4606000,4576025,4323418,921,0,0,248724,0,1460,0,FIN,Europe,2465.64481862422
1970,France,50768000,50615874,43475937,1355506,20003,27009,5105613,30004,548294,0,FRA,Europe,2857.25168156016
1970,Gabon,504000,411908,362200,3805,0,0,0,0,0,0,GAB,Africa,549.453817692395
1970,Ghana,8633000,8631599,4403670,1193227,993,299,8978,0,0,0,GHA,Africa,253.566621870168
1970,Greece,8793000,8789011,8648876,125136,0,0,11000,0,3799,0,GRC,Europe,1494.38798449137
1970,Guatemala,5246000,4927273,4816793,0,0,1000,102480,0,1000,0,GTM,North America,349.024975633327
1970,Guyana,709000,702064,376491,62747,234580,1964,3935,986,49,0,GUY,South America,379.895876186288
1970,Haiti,4520000,6692055,4235925,1500,0,0,183830,2260000,100,0,HTI,North America,70.8261792548154
1970,Honduras,2639000,2526380,2474700,1600,0,1000,35430,0,150,0,HND,North America,266.136406135199
1970,Iceland,204000,203337,200685,0,60,0,2192,0,0,0,ISL,Europe,2576.35344434276
1970,India,554910976,554901772,20627484,62994720,431738720,3784493,2702417,59930,8990,10321344,IND,Asia,112.434492477745
1970,Indonesia,117877000,117787554,12390965,94301600,2310389,1095077,1145764,976022,100,4974,IDN,Asia,79.7145354037704
